Date,EMA(12)
2024-01-18,473.2
2024-01-19,474.62
2024-01-22,475.98
2024-01-23,477.35
2024-01-24,478.59
2024-01-25,480.04
2024-01-26,481.17
2024-01-29,482.72
2024-01-30,483.98
2024-01-31,483.81
2024-02-01,484.64
2024-02-02,486.13
2024-02-05,487.12
2024-02-06,488.18
2024-02-07,489.71
2024-02-08,491.03
2024-02-09,492.59
2024-02-12,493.88
2024-02-13,493.91
2024-02-14,494.63
2024-02-15,495.77
2024-02-16,496.35
2024-02-20,496.41
2024-02-21,496.53
2024-02-22,498.22
2024-02-23,499.7
2024-02-26,500.67
2024-02-27,501.63
2024-02-28,502.34
2024-02-29,503.22
2024-03-01,504.7
2024-03-04,505.87
2024-03-05,506.07
2024-03-06,506.64
2024-03-07,507.9
2024-03-08,508.49
2024-03-11,508.92
2024-03-12,510.13
2024-03-13,511.03
2024-03-14,511.63
2024-03-15,511.35
2024-03-18,511.58
2024-03-19,512.22
2024-03-20,513.49
2024-03-21,514.83
2024-03-22,515.81
2024-03-25,516.42
2024-03-26,516.79
2024-03-27,517.77
2024-03-28,518.59
2024-04-01,519.14
2024-04-02,519.09
2024-04-03,519.14
2024-04-04,518.21
2024-04-05,518.24
2024-04-08,518.31
2024-04-09,518.47
2024-04-10,517.8
2024-04-11,517.83
2024-04-12,516.76
2024-04-15,514.87
2024-04-16,513.13
2024-04-17,511.19
2024-04-18,509.39
2024-04-19,507.2
2024-04-22,506.05
2024-04-23,505.99
2024-04-24,505.9
2024-04-25,505.53
2024-04-26,505.95
2024-04-29,506.58
2024-04-30,505.87
2024-05-01,505.02
2024-05-02,505.02
2024-05-03,505.98
2024-05-06,507.61
2024-05-07,509.08
2024-05-08,510.33
2024-05-09,511.84
2024-05-10,513.22
2024-05-13,514.4
2024-05-14,515.77
2024-05-15,517.93
2024-05-16,519.59
2024-05-17,521.11
2024-05-20,522.49
2024-05-21,523.85
2024-05-22,524.77
2024-05-23,524.95
2024-05-24,525.64
2024-05-28,526.28
2024-05-29,526.25
2024-05-30,525.69
2024-05-31,525.95
2024-06-03,526.23
2024-06-04,526.56
2024-06-05,527.81
2024-06-06,528.86
2024-06-07,529.65
2024-06-10,530.57
2024-06-11,531.55
2024-06-12,533.06
2024-06-13,534.5
2024-06-14,535.77
2024-06-17,537.51
2024-06-18,539.2
2024-06-20,540.4
2024-06-21,541.03
2024-06-24,541.29
2024-06-25,541.83
2024-06-26,542.4
2024-06-27,543.01
2024-06-28,543.2
2024-07-01,543.53
2024-07-02,544.37
2024-07-03,545.46
2024-07-05,546.87
2024-07-08,548.16
2024-07-09,549.34
2024-07-10,551.18
2024-07-11,552.0
2024-07-12,553.23
2024-07-15,554.51
2024-07-16,556.1
2024-07-17,556.23
2024-07-18,555.68
2024-07-19,554.65
2024-07-22,554.65
2024-07-23,554.52
2024-07-24,552.48
2024-07-25,550.32
2024-07-26,549.42
2024-07-29,548.7
2024-07-30,547.67
2024-07-31,548.15
2024-08-01,547.36
2024-08-02,545.14
2024-08-05,540.87
2024-08-06,537.99
2024-08-07,535.02
2024-08-08,534.35
2024-08-09,534.14
2024-08-12,534.01
2024-08-13,535.25
2024-08-14,536.56
2024-08-15,539.1
2024-08-16,541.44
2024-08-19,544.24
2024-08-20,546.46
2024-08-21,548.64
2024-08-22,549.81
2024-08-23,551.71
2024-08-26,553.11
2024-08-27,554.41
2024-08-28,555.01
2024-08-29,555.52
2024-08-30,556.78
2024-09-03,556.06
2024-09-04,555.27
2024-09-05,554.4
2024-09-06,552.24
2024-09-09,551.34
2024-09-10,550.95
2024-09-11,551.48
2024-09-12,552.65
2024-09-13,554.09
2024-09-16,555.44
2024-09-17,556.61
2024-09-18,557.35
2024-09-19,559.45
2024-09-20,560.8
2024-09-23,562.16
2024-09-24,563.57
2024-09-25,564.57
2024-09-26,565.76
2024-09-27,566.64
2024-09-30,567.74
2024-10-01,567.88
2024-10-02,568.03
2024-10-03,568.0
2024-10-04,568.77
2024-10-07,568.62
2024-10-08,569.32
2024-10-09,570.52
2024-10-10,571.38
2024-10-11,572.64
2024-10-14,574.44
2024-10-15,575.26
2024-10-16,576.34
2024-10-17,577.26
2024-10-18,578.39
2024-10-21,579.2
2024-10-22,579.83
2024-10-23,579.55
2024-10-24,579.5
2024-10-25,579.43
2024-10-28,579.65
2024-10-29,579.98
2024-10-30,579.98
2024-10-31,578.24
2024-11-01,577.13
2024-11-04,576.0
2024-11-05,576.11
2024-11-06,578.41
2024-11-07,581.06
2024-11-08,583.7
2024-11-11,586.02
2024-11-12,587.69
2024-11-13,589.15
2024-11-14,589.8
2024-11-15,589.18
2024-11-18,589.02
2024-11-19,589.22
2024-11-20,589.42
2024-11-21,590.07
2024-11-22,590.91
2024-11-25,591.93
2024-11-26,593.27
2024-11-27,594.13
2024-11-29,595.43
2024-12-02,596.69
2024-12-03,597.8
2024-12-04,599.32
2024-12-05,600.45
2024-12-06,601.58
2024-12-09,602.06
2024-12-10,602.17
2024-12-11,602.98
2024-12-12,603.19
2024-12-13,603.35
2024-12-16,603.88
2024-12-17,603.94
2024-12-18,601.22
2024-12-19,598.89
2024-12-20,597.7
2024-12-23,597.24
2024-12-24,597.86
2024-12-26,598.4
2024-12-27,597.88
2024-12-30,596.39
2024-12-31,594.8
2025-01-02,593.24
2025-01-03,593.04
2025-01-06,593.4
2025-01-07,592.67
2025-01-08,592.18
2025-01-10,590.38
2025-01-13,589.0
2025-01-14,587.95
2025-01-15,588.69
2025-01-16,589.14
2025-01-17,590.44
2025-01-21,592.38
2025-01-22,594.54
2025-01-23,596.88
2025-01-24,598.59
2025-01-27,598.71
2025-01-28,599.6
2025-01-29,599.94
2025-01-30,600.72
2025-01-31,600.89
2025-02-03,600.41
2025-02-04,600.62
2025-02-05,601.17
2025-02-06,601.96
2025-02-07,601.78
2025-02-10,602.25
2025-02-11,602.72
2025-02-12,602.82
2025-02-13,603.88
2025-02-14,604.78
2025-02-18,605.81
2025-02-19,606.91
2025-02-20,607.44
2025-02-21,606.29
2025-02-24,604.89
2025-02-25,603.25
2025-02-26,601.91
2025-02-27,599.32
2025-02-28,598.53
2025-03-03,596.26
2025-03-04,593.28
2025-03-05,591.71
2025-03-06,588.79
2025-03-07,586.81
2025-03-10,582.77
2025-03-11,578.64
2025-03-12,575.6
2025-03-13,571.88
2025-03-14,570.48
2025-03-17,569.97
2025-03-18,568.59
2025-03-19,568.37
2025-03-20,567.93
2025-03-21,567.32
2025-03-24,568.36
2025-03-25,569.45
2025-03-26,569.32
2025-03-27,568.98
2025-03-28,566.93
2025-03-31,565.77
2025-04-01,565.03
2025-04-02,564.95
2025-04-03,560.6
2025-04-04,552.09
2025-04-07,544.75
2025-04-08,537.32
2025-04-09,539.06
2025-04-10,536.83
2025-04-11,536.39
2025-04-14,536.81
2025-04-15,536.93
2025-04-16,535.2
2025-04-17,533.85
2025-04-21,530.78
2025-04-22,530.24
2025-04-23,531.04
2025-04-24,533.45
2025-04-25,536.09
2025-04-28,538.36
2025-04-29,540.82
2025-04-30,542.93
2025-05-01,545.32
2025-05-02,548.62
2025-05-05,550.91
2025-05-06,552.12
2025-05-07,553.51
2025-05-08,555.29
2025-05-09,556.68
2025-05-12,560.73
2025-05-13,564.75
2025-05-14,568.26
2025-05-15,571.68
2025-05-16,575.14
2025-05-19,578.17
2025-05-20,580.43
2025-05-21,580.8
2025-05-22,581.15
2025-05-23,580.84
2025-05-27,582.43
2025-05-28,583.25
2025-05-29,584.3
2025-05-30,585.08
2025-06-02,586.25
2025-06-03,587.76
2025-06-04,589.02
2025-06-05,589.64
2025-06-06,591.1
2025-06-09,592.42
2025-06-10,594.06
2025-06-11,595.18
2025-06-12,596.5
2025-06-13,596.58
2025-06-16,597.52
2025-06-17,597.52
2025-06-18,597.51
2025-06-20,597.01
2025-06-23,597.49
2025-06-24,598.92
2025-06-25,600.18
2025-06-26,601.98
2025-06-27,603.97
2025-06-30,606.11
2025-07-01,607.89
2025-07-02,609.82
2025-07-03,612.21
2025-07-07,613.51
2025-07-08,614.56
2025-07-09,616.02
2025-07-10,617.53
2025-07-11,618.47
2025-07-14,619.45
2025-07-15,619.86
2025-07-16,620.53
2025-07-17,621.69
2025-07-18,622.6
2025-07-21,623.55
2025-07-22,624.37
2025-07-23,625.88
2025-07-24,627.19
2025-07-25,628.71
2025-07-28,629.98
2025-07-29,630.79
2025-07-30,631.35
2025-07-31,631.46
2025-08-01,629.96
2025-08-04,630.15
2025-08-05,629.81
2025-08-06,630.27
2025-08-07,630.57
2025-08-08,631.59
2025-08-11,632.26
2025-08-12,633.86
2025-08-13,635.56
2025-08-14,637.0
2025-08-15,637.99
2025-08-18,638.81
2025-08-19,638.96
2025-08-20,638.83
2025-08-21,638.33
2025-08-22,639.4
2025-08-25,639.87
2025-08-26,640.68
2025-08-27,641.6
2025-08-28,642.73
2025-08-29,643.09
2025-09-02,642.66
2025-09-03,642.83
2025-09-04,643.8
2025-09-05,644.33
2025-09-08,645.02
2025-09-09,645.84
2025-09-10,646.82
2025-09-11,648.48
2025-09-12,649.85
2025-09-15,651.55
2025-09-16,652.85
2025-09-17,653.82
2025-09-18,655.12
2025-09-19,656.44
2025-09-22,658.04
2025-09-23,658.84
2025-09-24,659.19
2025-09-25,659.01
2025-09-26,659.44
2025-09-29,660.09
2025-09-30,661.03
2025-10-01,662.17
2025-10-02,663.25
2025-10-03,664.17
2025-10-06,665.31
2025-10-07,665.9
2025-10-08,667.01
2025-10-09,667.65
2025-10-10,665.4
2025-10-13,665.04
2025-10-14,664.61
2025-10-15,664.7
2025-10-16,664.08
2025-10-17,664.13
2025-10-20,665.23
2025-10-21,666.16
2025-10-22,666.41
2025-10-23,667.23
2025-10-24,668.77
2025-10-27,671.3
2025-10-28,673.72
2025-10-29,675.82
2025-10-30,676.44
2025-10-31,677.3
2025-11-03,678.23
2025-11-04,677.77
2025-11-05,677.74
2025-11-06,676.6
2025-11-07,675.73
2025-11-10,676.61
2025-11-11,677.59
2025-11-12,678.48
2025-11-13,677.49
2025-11-14,676.63
2025-11-17,674.94
2025-11-18,672.65
2025-11-19,671.11
2025-11-20,668.25
2025-11-21,666.83
2025-11-24,667.12
2025-11-25,668.34
2025-11-26,670.08
2025-11-28,672.13
2025-12-01,673.38
2025-12-02,674.63
