Date,EMA(13)
2024-11-04,241.77
2024-11-05,243.15
2024-11-06,249.63
2024-11-07,256.38
2024-11-08,265.64
2024-11-11,277.69
2024-11-12,284.95
2024-11-13,291.42
2024-11-14,294.24
2024-11-15,298.02
2024-11-18,303.84
2024-11-19,309.86
2024-11-20,314.46
2024-11-21,318.06
2024-11-22,322.99
2024-11-25,325.22
2024-11-26,327.08
2024-11-27,327.91
2024-11-29,330.37
2024-12-02,334.19
2024-12-03,336.65
2024-12-04,339.69
2024-12-05,343.95
2024-12-06,350.42
2024-12-09,356.04
2024-12-10,362.46
2024-12-11,371.36
2024-12-12,378.04
2024-12-13,386.35
2024-12-16,397.3
2024-12-17,409.09
2024-12-18,413.52
2024-12-19,416.76
2024-12-20,417.37
2024-12-23,419.26
2024-12-24,425.41
2024-12-26,429.51
2024-12-27,429.82
2024-12-30,428.05
2024-12-31,424.59
2025-01-02,418.12
2025-01-03,417.02
2025-01-06,416.17
2025-01-07,413.05
2025-01-08,410.46
2025-01-10,408.21
2025-01-13,407.51
2025-01-14,405.92
2025-01-15,409.11
2025-01-16,409.78
2025-01-17,412.17
2025-01-21,413.87
2025-01-22,414.05
2025-01-23,413.81
2025-01-24,412.78
2025-01-27,410.55
2025-01-28,408.77
2025-01-29,405.96
2025-01-30,405.15
2025-01-31,405.07
2025-02-03,402.01
2025-02-04,400.61
2025-02-05,397.4
2025-02-06,394.1
2025-02-07,389.46
2025-02-10,383.93
2025-02-11,376.01
2025-02-12,370.37
2025-02-13,368.31
2025-02-14,366.53
2025-02-18,364.76
2025-02-19,364.16
2025-02-20,362.77
2025-02-21,359.2
2025-02-24,355.1
2025-02-25,347.63
2025-02-26,339.51
2025-02-27,331.29
2025-02-28,325.82
2025-03-03,319.94
2025-03-04,313.1
2025-03-05,308.24
2025-03-06,301.84
2025-03-07,296.24
2025-03-10,285.66
2025-03-11,277.79
2025-03-12,273.55
2025-03-13,268.85
2025-03-14,266.15
2025-03-17,262.13
2025-03-18,256.87
2025-03-19,253.87
2025-03-20,251.35
2025-03-21,250.97
2025-03-24,254.89
2025-03-25,259.64
2025-03-26,261.41
2025-03-27,263.08
2025-03-28,263.15
2025-03-31,262.58
2025-04-01,263.42
2025-04-02,266.18
2025-04-03,266.34
2025-04-04,262.5
2025-04-07,258.33
2025-04-08,253.12
2025-04-09,255.85
2025-04-10,255.36
2025-04-11,254.92
2025-04-14,254.55
2025-04-15,254.49
2025-04-16,252.64
2025-04-17,251.03
2025-04-21,247.67
2025-04-22,246.28
2025-04-23,246.92
2025-04-24,248.72
2025-04-25,253.9
2025-04-28,258.47
2025-04-29,263.26
2025-04-30,265.96
2025-05-01,268.04
2025-05-02,270.78
2025-05-05,272.13
2025-05-06,272.59
2025-05-07,273.11
2025-05-08,274.78
2025-05-09,278.13
2025-05-12,283.88
2025-05-13,291.05
2025-05-14,299.14
2025-05-15,305.38
2025-05-16,311.75
2025-05-19,316.08
2025-05-20,320.04
2025-05-21,322.12
2025-05-22,324.82
2025-05-23,326.89
2025-05-27,332.03
2025-05-28,335.58
2025-05-29,338.84
2025-05-30,339.93
2025-06-02,340.32
2025-06-03,340.88
2025-06-04,339.62
2025-06-05,331.77
2025-06-06,326.54
2025-06-09,323.97
2025-06-10,324.27
2025-06-11,324.58
2025-06-12,323.8
2025-06-13,324.02
2025-06-16,324.75
2025-06-17,323.55
2025-06-18,323.34
2025-06-20,323.17
2025-06-23,326.81
2025-06-24,328.76
2025-06-25,328.59
2025-06-26,328.19
2025-06-27,327.54
2025-06-30,326.13
2025-07-01,322.5
2025-07-02,321.52
2025-07-03,320.64
2025-07-07,316.83
2025-07-08,314.11
2025-07-09,311.51
2025-07-10,311.28
2025-07-11,311.6
2025-07-14,312.36
2025-07-15,312.13
2025-07-16,313.49
2025-07-17,314.34
2025-07-18,316.53
2025-07-21,318.24
2025-07-22,320.22
2025-07-23,321.98
2025-07-24,319.6
2025-07-25,319.09
2025-07-28,320.02
2025-07-29,320.19
2025-07-30,320.03
2025-07-31,318.35
2025-08-01,316.1
2025-08-04,315.12
2025-08-05,314.21
2025-08-06,315.02
2025-08-07,316.06
2025-08-08,318.0
2025-08-11,321.0
2025-08-12,323.83
2025-08-13,326.05
2025-08-14,327.41
2025-08-15,327.86
2025-08-18,328.9
2025-08-19,328.96
2025-08-20,328.24
2025-08-21,327.08
2025-08-22,328.93
2025-08-25,331.45
2025-08-26,334.34
2025-08-27,336.52
2025-08-28,337.87
2025-08-29,337.3
2025-09-02,336.17
2025-09-03,335.87
2025-09-04,336.25
2025-09-05,338.33
2025-09-08,339.48
2025-09-09,340.55
2025-09-10,341.58
2025-09-11,345.47
2025-09-12,352.68
2025-09-15,360.87
2025-09-16,369.55
2025-09-17,377.59
2025-09-18,383.2
2025-09-19,389.32
2025-09-22,395.73
2025-09-23,400.03
2025-09-24,406.14
2025-09-25,408.6
2025-09-26,413.14
2025-09-29,417.44
2025-09-30,421.34
2025-10-01,426.79
2025-10-02,428.11
2025-10-03,428.36
2025-10-06,431.92
2025-10-07,432.09
2025-10-08,433.03
2025-10-09,433.39
2025-10-10,430.55
2025-10-13,431.31
2025-10-14,431.01
2025-10-15,431.6
2025-10-16,431.19
2025-10-17,432.35
2025-10-20,434.5
2025-10-21,435.66
2025-10-22,436.13
2025-10-23,437.97
2025-10-24,437.36
2025-10-27,439.51
2025-10-28,442.52
2025-10-29,445.23
2025-10-30,444.5
2025-10-31,446.22
2025-11-03,449.38
2025-11-04,448.65
2025-11-05,450.57
2025-11-06,449.9
2025-11-07,446.99
2025-11-10,446.74
2025-11-11,445.72
2025-11-12,443.56
2025-11-13,437.62
2025-11-14,432.87
2025-11-17,429.45
2025-11-18,425.42
2025-11-19,422.36
2025-11-20,418.48
2025-11-21,414.57
