symbol
AAPL
ABBV
ABNB
ABT
ACI
ACM
ADBE
ADI
ADM
ADP
ADSK
AEE
AEP
AFG
AFL
AFRM
AGNC
AIG
AIZ
AJG
AKAM
ALAB
ALGN
ALL
ALLY
ALNY
AMAT
AMD
AME
AMGN
AMH
AMP
AMT
AMZN
ANET
AOS
APD
APG
APH
APO
APP
ARCC
ARE
ARES
ARMK
ASTS
ATI
ATO
AUR
AVAV
AVB
AVGO
AVY
AWK
AXON
AXP
AZO
BA
BAC
BAH
BALL
BAM
BAX
BBD
BBY
BE
BEN
BG
BIIB
BJ
BK
BKNG
BKR
BLD
BLDR
BLK
BMRN
BMY
BR
BRO
BSX
BSY
BURL
BWXT
BX
BXP
C
CACI
CAH
CAI
CARR
CART
CASY
CAT
CBOE
CBRE
CCI
CCK
CCL
CDNS
CDW
CEG
CELH
CF
CFG
CG
CHD
CHRW
CHTR
CHWY
CI
CIEN
CINF
CL
CLH
CLX
CM
CMCSA
CMG
CMI
CMS
CNC
CNM
CNP
COF
COHR
COIN
COKE
COO
COOP
COP
COR
COST
CPAY
CPNG
CPRT
CPT
CQP
CR
CRBG
CRCL
CRH
CRM
CRS
CRWD
CRWV
CSCO
CSGP
CSL
CSX
CTAS
CTRA
CTSH
CTVA
CVNA
CVS
CVX
CW
D
DAL
DASH
DAY
DD
DDOG
DE
DECK
DELL
DG
DGX
DHI
DHR
DIS
DKNG
DKS
DLR
DLTR
DOC
DOCS
DOCU
DOV
DOW
DPZ
DRI
DRS
DT
DTE
DTM
DUK
DUOL
DVN
DXCM
EA
EBAY
ECL
ED
EFX
EHC
EIX
EL
ELS
ELV
EME
EMR
ENTG
EOG
EPD
EQH
EQIX
EQR
EQT
ERIE
ES
ESS
ET
ETR
EVR
EVRG
EW
EWBC
EXC
EXE
EXEL
EXPD
EXPE
EXR
F
FANG
FAST
FCNCA
FCX
FDS
FDX
FE
FERG
FFIV
FHN
FI
FICO
FIG
FIS
FITB
FIX
FLEX
FLUT
FNF
FOX
FOXA
FSLR
FTAI
FTI
FTNT
FTV
FWONA
FWONK
GD
GDDY
GE
GEHC
GEN
GEV
GFS
GGG
GILD
GIS
GL
GLPI
GLW
GM
GME
GNRC
GOOG
GOOGL
GPC
GPN
GS
GWRE
GWW
H
HAL
HAS
HBAN
HCA
HD
HEI
HIG
HII
HLI
HLT
HOLX
HON
HOOD
HPE
HPQ
HRL
HST
HSY
HUBB
HUBS
HUM
HWM
IBKR
IBM
ICE
IDXX
IEX
IFF
ILMN
INCY
INSM
INTC
INTU
INVH
IONQ
IOT
IP
IQV
IR
IRM
ISRG
IT
ITT
ITW
J
JBHT
JBL
JEF
JKHY
JLL
JNJ
JOBY
JPM
K
KDP
KEY
KEYS
KHC
KIM
KKR
KLAC
KMB
KMI
KNSL
KO
KR
KTOS
KVUE
L
LAMR
LDOS
LECO
LEN
LH
LHX
LII
LLY
LMT
LNG
LNT
LOW
LPLA
LRCX
LUV
LVS
LYV
MA
MAA
MANH
MAR
MAS
MCD
MCHP
MCK
MCO
MDB
MDLZ
MEDP
MELI
MET
META
MGM
MKC
MKL
MLI
MLM
MMC
MMM
MNST
MO
MORN
MOS
MP
MPC
MPLX
MPWR
MRK
MRVL
MS
MSCI
MSFT
MSI
MSTR
MTB
MTD
MTZ
MU
NBIX
NCLH
NDAQ
NDSN
NEE
NEM
NET
NFLX
NI
NKE
NLY
NOC
NOW
NRG
NSC
NTAP
NTNX
NTRA
NTRS
NUE
NVDA
NVR
NWS
NWSA
NXT
O
OC
ODFL
OHI
OKE
OKLO
OKTA
OMC
ON
ORCL
ORLY
OTIS
OVV
OWL
OXY
PAA
PAG
PANW
PAYC
PAYX
PCAR
PCG
PEG
PEN
PEP
PFE
PFG
PFGC
PG
PH
PHM
PINS
PKG
PLD
PLTR
PM
PNC
PNW
PODD
POOL
PPG
PPL
PRU
PSA
PSKY
PSTG
PSX
PTC
PWR
PYPL
QCOM
QXO
RBA
RBC
RBLX
RBRK
RCL
RDDT
REG
REGN
RF
RGA
RGLD
RIVN
RJF
RKLB
RL
RMD
ROK
ROKU
ROL
ROP
ROST
RPM
RPRX
RRX
RS
RSG
RTX
RVTY
SAIL
SBAC
SBUX
SCHW
SCI
SEIC
SF
SFD
SFM
SGI
SHW
SJM
SLB
SMCI
SMMT
SN
SNA
SNAP
SNOW
SNPS
SNX
SO
SOFI
SOLV
SPG
SPGI
SRE
SSB
SSNC
STLD
STT
STX
STZ
SUI
SWK
SWKS
SYF
SYK
SYY
T
TDG
TDY
TEAM
TEM
TER
TFC
TGT
THC
TJX
TKO
TLN
TMO
TMUS
TOL
TOST
TPL
TPR
TRGP
TRMB
TROW
TRU
TRV
TSCO
TSLA
TSN
TTD
TTWO
TW
TWLO
TXN
TXRH
TXT
TYL
U
UAL
UBER
UDR
UHAL
UHS
UI
ULS
ULTA
UNH
UNM
UNP
UPS
URI
USB
USFD
UTHR
V
VEEV
VG
VICI
VLO
VLTO
VMC
VRSK
VRSN
VRT
VRTX
VST
VTR
VTRS
VZ
WAB
WAT
WBA
WBD
WBS
WCC
WDAY
WDC
WEC
WELL
WES
WFC
WLK
WM
WMB
WMG
WMS
WMT
WPC
WSM
WSO
WST
WTRG
WWD
WY
WYNN
XEL
XOM
XPO
XYL
XYZ
YUM
Z
ZBH
ZBRA
ZG
ZM
ZS
ZTS
