symbol
SPY
QQQ
DIA
IWM
NVDA
MSFT
AAPL
AMZN
META
TSLA
AMD
AVGO
TSM
COIN
PLTR
MU
ORCL
NFLX
QCOM
CRM
GE
HOOD
IBM
INTC
SNOW
SHOP
